,Start,End,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,Senti
126,2014-12-01,2014-12-31,"Tencent ready to launch China;s first private internet bank, WeBank",Tencent chairman Pony Ma leads insider disposals with HK$3b deals,Tencent and Sony sign China music distribution deal,"Text well, eat better: WeChat enters the online food delivery business",Weibo: Xiaomi;s apartment play; China Mobile;s nakedness,Baidu buys stake in Uber in bid to expand presence in China,Baidu buys stake in car-booking app Uber,Smart money pouring into Shenzhen as city becomes hotbed of innovation ,China;s traditional lenders meet their match in internet banking,Xiaomi;s appliance bet with Midea seen diluting its smartphone focus,
127,2015-01-01,2015-01-31,China Xiaomi buys 3 per cent of software firm Kingsoft for HK$527 million,Advertising move pushes Tencent ADRs to record high,"Bitauto teams up with Tencent, JD.com to drive online car sales in China","PBOC calls on Alibaba, Tencent to help develop credit reporting market",Wanda E-commerce quadruples value as it completes first round of financing,Rally forecast for US-listed Chinese technology firms,WhatsApp launches desktop version – but Apple users will have to wait,China to overhaul rules on foreign investment,Property start-up Spacious ready for regional rollout,Beijing officials crack down on Uber-like car services,
128,2015-02-01,2015-02-28,Tencent completes US$2b bond issue,Huge demand for Tencent’s US$2b bond offering,Tencent eyes major new bond sale,Queue stretches around building as Tencent boss hands out Lunar New Year bonuses personally,"Alibaba, Tencent spark battle for virtual red envelopes during ‘China’s Super Bowl’",Ford seeks China edge with Tencent link for WeChat service on the road,"Alibaba, Tencent-backed taxi-booking firms announce merger after Uber zooms in on China","Alibaba, Tencent draw praise and ire from controversy",Baidu seen to be lagging rivals in mergers and acquisitions activity,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on February 11,
129,2015-03-01,2015-03-31,Internet giant Tencent inks global eBook deal to promote Chinese culture,;Copycat; Tencent boss calls for China to strengthen intellectual property laws,Tencent scraps WeChat global expansion plans despite strong profits,China;s Amazon? Tencent and Shanda to merge online publishing and eBook services,Tech giants Tencent and Foxconn team up to make ;smart cars;,Tencent-owned review site Dianping about to close US$850m funding round: report,China Mobile teaming up with ZTE to take on Tencent;s WeChat,"Line launches mobile payment service to rival those of Alibaba, Apple and Tencent",Moving into movies makes sense for Alibaba and Tencent,"Shenzhen named as top 5 start-up hub, Hong Kong nowhere in sight",
130,2015-04-01,2015-04-30,Tencent buys 14.6pc stake in Kardashian game maker Glu for US$126 million,"Tencent unveils smartphone and ;internet of things; OS in challenge to Xiaomi, Alibaba","Yossi Vardi, godfather of Israel;s hi-tech boom, has high hopes for China",WeChat cinema ticket sales app WePiao secures US$105 million in funding,Whatsapp the top pick for Hong Kong’s remote workers who need to stay in touch,China’s cash rich internet giants may spawn wave of acquisitions,Top 5 mobile and instant messaging apps in China,Web portal Sohu looks to video business and gaming for future revenue growth ,"Top 5 tech giants who shape Shenzhen, ;China;s Silicon Valley; ",China to overtake US as world;s largest mobile gaming market by 2016,
131,2015-05-01,2015-05-31,Nielsen to measure digital ads in partnership with China;s Tencent,Tencent eyes more partnerships as mobile users continue to grow,Chinese government broadband plan lifts Tencent and Lenovo shares,"Chinese oil firms sink, but Tencent and property stocks jump","Fosun;s HK$9.3b share placement attracts Alibaba, Tencent founders","Power struggles, regulatory uncertainties challenge China;s new internet dream",Rare sighting of gazelles on north China grasslands,China a gold mine for online payment platform system companies ,China’s Huatai Securities kicks off Hong Kong share offering,Top 5 most popular Chinese internet entrepreneurs ,
132,2015-06-01,2015-06-30,Taiwan may give Tencent the boot over WeChat registration flap,"Alibaba, Tencent and walled gardens: History repeats itself on the Chinese web","With Overwatch deal, China’s NetEase throws down gauntlet to rival Tencent",WeChat launches English-language desktop app targeting overseas users,WeChat users unable to transfer money in amounts related to Tiananmen crackdown anniversary,Can Google architects work their magic on China;s depressing hospitals?,Search giant Baidu pumps US$3.2 billion into Nuomi online-to-offline platform,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on June 26,Meituan apologises for snafu with food-delivery app that blocked rivals,Baidu-backed video streaming service iQiyi tops 5 million paid subscribers,
133,2015-07-01,2015-07-31,"Rumours, politics and corruption most likely topics to be censored on Chinese messaging app WeChat",Alibaba digital entertainment head detained in Tencent graft investigation,Former Tencent staff held over China corruption inquiry,Chinese censors summon Weibo and Tencent bosses over Uniqlo clothes store sex tape ,China’s ZTE jumping into US$16 billion ‘smart city’ business after signing up 100 local governments,"Chinese tech firms don;t copy Western innovations, they learn from them, says venture capitalist",China;s privately owned banks: boom or bunk?,iQiyi TV: Chinese video streaming site expands into self-produced content ,China;s richest man;s larger-than-Disney tourism dream may involve new airline,China;s private sector joins the nation;s battle against corruption,
134,2015-08-01,2015-08-31,WeChat eyes lead role in ;internet of things; as Tencent;s mobile messaging tool lures developers to its open hardware platform,China;s Tencent invests US$50 million to build Canadian start-up;s Kik Messenger into ;WeChat of the West;,Tencent to invest more in boosting online-to-offline partnerships,Chinese internet giant Tencent readies online stock trading platform after market crash as rival Alibaba makes similar move,China;s Tencent bids to buy up travel site eLong as mobile bookings boom,"How Baidu, Tencent and Alibaba are leading the way in China;s big data revolution",Canada;s Kik messaging app raises US$50 million from China;s Tencent,Internet giant Tencent leads US$90m funding round in healthcare app Practo as Chinese firms target India ,"Chinese internet giants like Alibaba, Tencent may devour domestic movie industry as ecosystem shifts, pundits predict",Tencent fuels US$85 million funding round in Renrenche as used-car market speeds up,
135,2015-09-01,2015-09-30,"Tencent shares see slight recovery after 4-day slide in wake of co-founder Pony Ma selling off HK$1.3 billion of stocks, WeChat flaw",Armies of Dragons on WeChat? China;s Tencent teams up with Hong Kong-based Animoca to tap Asia;s 760 million-plus gamers,"End of the road for journalists? Tencent;s Robot reporter ;Dreamwriter; churns out perfect 1,000-word news story- in 60 seconds",Tencent chairman;s HK$3b share sale pushes disposals on Hong Kong exchange,"Tencent bringing Star Wars to China as Youku, Alibaba target US film and TV franchises for booming home streaming market","Watch out, Tesla: China;s NextEV plots even faster ;electric supercar; amid backing from Tencent, JD.com, Hillhouse Capital",Even grandma is ditching hongbao for WeChat;s digital red envelopes as China goes into mobile gift-giving frenzy over Mid-Autumn Festival,Baidu controls 91pc of mobile search market in China as smaller firms struggle to compete with nation;s top 3 internet giants: Barclays,Cracks in the wall: China;s ;Great Firewall; may share some blame for breach at Apple;s App Store ,China;s booming e-commerce market faces challenges as regulators seek to restrict online payments,
136,2015-10-01,2015-10-31,"China;s Tencent, eBay join messaging app Kakao;s bid for new South Korean internet bank",Tie-up between Alibaba and Tencent a wake-up call for ‘bricks and mortar’ retailers,What does BAT’s hiring freeze really mean to the entire internet industry?,China developers unearth new gold mine in serving home owners,;China;s Groupon; Meituan and Yelp-like Dianping likely to merge to create country’s biggest O2O services provider,"China’s widows and orphans of coal: if the gas doesn’t get their men, black lung will",Alibaba;s stock rises after Jack Ma says world is overreacting to China’s economic slowdown,Chinese stocks trade higher in New York,Meituan and Dianping merge to form online-to-offline giant,‘Baidu nails it again on travel’: Chinese search engine wins from huge share swap between rivals Ctrip and Qunar as industry consolidation continues,
137,2015-11-01,2015-11-30,Tencent sees third-quarter profit rise 32 per cent to 7.45 billion yuan,China’s Tencent partners with Glu Mobile to bring popular WeFire mobile shooter game to international markets,Market Talk: Tencent gets rights for James Bond,Market Talk: Tencent makes some big numbers,"HengTen records HK$218m loss, aims to turn a profit next year",Chinese e-commerce firm JD.com sees revenue rise 52 per cent,From brick-and-mortar malls to e-finance: Can China’s richest man Wang Jianlin find success in new field of online business?,"Hong Kong stocks follow Wall Street higher, while China mired in negative territory","Apple Pay coming to China in time for Spring Festival in February if no more hurdles arise, reports say","Students, drugs and rock and roll: Chinese students held for taking drugs after raid on famed Beijing music school",
138,2015-12-01,2015-12-31,"China has tech talent, and race is on to hire it","WeChat trends to expect in 2016: virtual reality, more ads, global expansion of Tencent app’s wallet function","China’s Alibaba, Baidu and Tencent join hands to promote ‘Internet Plus’ strategy","Tencent blocks Uber on WeChat, so what ‘fair play’ can we expect in China?",Tencent chairman sells 25 million shares for HK$3.85 billion,Tencent’s WeChat mobile messaging tool to roll out overseas payment service as competition in cross-border market heats up,"Baidu-Taihe merger takes on Tencent, Alibaba in fight for China’s digital music market",Tencent-backed 58.com expects revenue to keep rising for Craigslist-like online classifieds business as bid to buy rivals pays off,Alibaba to invest US$1.25 billion in Chinese online food delivery service,Green factory: banyan trees sprout from disused chimney tops in southern China ,
139,2016-01-01,2016-01-31,"Tencent’s WeChat Wallet lands in Hong Kong, beating Apple Pay as public migrates to mobile payments","Bad taste: LeEco’s Go Princess Go, other streaming hits by China’s Tencent, iQiyi shut down for vulgarity, violence and ‘superstitious’ content",Get lucky this Spring Festival: WeChat adds sexy twist to red-envelope giving via mobile ahead of Chinese New Year,Huge pod of dolphins spotted at reserve in South China Sea for first time in five years,Didi Kuaidi joins China Merchants Bank to provide car financing for drivers,Fears grow over Chinese economy as new jobs dry up in tech sector,Worth US$125 billion combined: meet Hong Kong and China’s richest billionaires although charity seems to lag,China’s Alibaba Pictures removes senior board director ensnared in graft investigation as large deals loom,When the chips are down: US semiconductor maker Qualcomm aims to dominate consumer drone market as revenue plummets ,"China’s Weibo follows Twitter in controversial move to ditch 140-character limit, says users can soon waffle on for up to 2,000 ",
140,2016-02-01,2016-02-29,Tencent to charge users in China for transferring money from WeChat Wallet to bank accounts,"Reddest red envelope: Chinese Communist Party teams up with Alibaba, Tencent to hand out  cash",Tencent’s WeChat now allowing  red envelopes to be sent digitally in Hong Kong for Chinese New Year,‘Beijing slaps ban on Hong Kong and Taiwan film awards’ amid rising political tensions,Mainland China’s top five banks waive charges for money transfers as competition from internet finance companies heats up,Police in western China pull over fake squad car cruising the streets,Caught between an iPhone and Alipay: Will Apple’s gamble on China pay off as Apple Pay reaches mainland tomorrow?,Media gold rush: China’s top businesses target acquisitions in burgeoning media industry to raise their profiles ,"Internet users raise stink over open-air Chinese toilets without roof or walls, built beside children’s playground",Japan stock market rout shows no let-up by close as Singapore equities slide; Hong Kong poised to trade lower Thursday,
141,2016-03-01,2016-03-31,"Sharing economy a growth driver but restrictions need to be addressed, says Tencent chief","If you use Tencent’s QQ web browser your personal data is at risk, experts warn","Chinese firms; brand value rise despite growth woes at home, with Tencent, China Mobile leading the pack","Tencent profit surges 21 per cent for 2015 thanks to growth in online games, advertising revenue",Era of e-sports: China’s Douyu TV hits valuation of US$100 million as backer Tencent gambles on live streaming service,China’s internet giants throw weight behind sharing economy after endorsement by Beijing,China’s tech firms jumped on sports bandwagon – but can they figure out how to get fans to pay up?,Samsung Pay hits China five weeks after Apple launches mobile wallet app on mainland,Pop go the stars: Simon Fuller teams up with mainland Chinese firms to create digital pop stars ,Sleep monitor with adjustable pillow could prevent dangerous sleep apnea and excessive snoring,
142,2016-04-01,2016-04-30,"Tencent executive earned more than HK$274 million in annual salary, filings reveal – leaving even Canning Fok in the shade","Hong Kong, Shanghai notch gains in cautious trade; Tencent rises, Li Ka-shing companies ease back on Husky investment ",Tencent CEO Pony Ma pledges US$2.1b in shares to new charity fund,"BAT – Baidu, Alibaba and Tencent – lead charge in China mergers and show no sign of slowing down","China’s social networks set for boom, as advertising spending forecast to jump 56 per cent to US$5.33b this year","Buying by directors plunges, reversing the buying trend of previous three weeks ",Xiaomi partners with UnionPay in online payments service targeting China,"Scammers masquerading online as pretty young girls trick over 500 people out of 300,000 yuan",Rise of China’s internet and service sectors offers hope for new graduate jobseekers,Baidu reports 24 per cent increase in first-quarter revenue to 15.82 billion yuan,
143,2016-05-01,2016-05-31,Grandmother’s life lessons inspire Tencent co-founder to launch education prize,Tencent profit rises 33 per cent but China’s slow economy clouds advertising outlook,"Tencent to Baidu, Chinese internet giants big on Big Data",Why boring old companies are sometimes the best innovators ,Medical services app Ping An Good Doctor raises US$500m,Hong Kong stocks edge up while mainland China shares end flat amid low turnover,Chinese tycoons’ and Communist Party officials’ personal data leaked on Twitter,"Housing crisis in China’s ‘Silicon Valley’: Huawei, other hi-tech giants head for cheaper cities as rising costs deter talent",Cradle of IT firms and listings,"Inventive email scam rises in Asia, says EY",
144,2016-06-01,2016-06-30,Supercell takeover propels Tencent into entertainment super league,Tencent eyes mobile gaming growth in acquisition of Finnish developer Supercell for US$8.6 billion,Tencent said to be weighing stake purchase in ‘Clash of Clans’ maker Supercell,"Baidu, Alibaba and Tencent set to reap returns from stakes in O2O platforms, analysts say",Video games: the sport of tomorrow’s champions,Internet mogul Pony Ma named most generous Chinese philanthropist,China’s tech giants face mixed fortunes amid Brexit fallout,Didi Chuxing completes US$7.3 billion fundraising,In the top league: What’s behind the rush of Chinese firms into the global sports business?,Shock horror! Young online stars risk life and limb – sometimes literally– to lure fans and advertisers,
145,2016-07-01,2016-07-31,"Tencent awards HK$2.6bn worth of shares to 7,068 employees",Chinese internet giant Tencent disciplined over ‘furious’ Xi headline error,Tencent to merge QQ Music service with China Music Corp to create streaming giant,"Mobile game market to triple in size to 152b yuan by 2018, with Tencent out in front",Beijing cyberspace watchdog ‘orders news arms of major portals to close’,Crackdown by authorities as China’s soccer boom sparks online gambling craze,"Global TMT transactions fall 46pc in first half, bereft of ‘megadeals’","Pokémon GO Launches, Productivity and Nintendo Shares Plummet","Chinese copycat apps riding the wave of Pokemon fever, for now",58pc of Hongkongers have WeChat account,
146,2016-08-01,2016-08-31,China’s Tencent reports higher than expected second quarter profit on smartphone games revenue,"Baidu of China sues rivals Tencent, Sohu over articles on food delivery service",China’s Tencent invests in India’s WhatsApp rival Hike,"Tencent, PCCW invest in Hollywood studio to bolster film archive",Busy day for Hong Kong earnings reports: these stocks could see big moves,China’s Bitauto unit receives US$550 million in funding from internet giants,Kingdee plots cloud-based future after delivering 38.5pc profit rise,"Beijing clamps down on news portals, ordering round the clock monitoring",Pokemon Go excites China investors eyeing new virtual-reality apps,Three new insurers join increasingly crowded sector,
147,2016-09-01,2016-09-30,Tencent cracks whip on WeChat users inflating readership numbers,China’s Tencent may double its charity contribution to 2pc of annual profit,China’s Tencent Pictures teams up with Turner Asia-Pacific to develop Tuzki animated movie,Tech firms and banks top list of Asia’s 10 largest companies,Tencent tests new WeChat feature allowing in-app access to mobile services,Alibaba tops Tencent as Asia’s biggest company by market value,Tencent edges out China Mobile to become Asia’s most valuable company,Hong Kong stocks halt 4-day bull run as Tencent falls back from record highs,Hong Kong directors’ trades take spotlight in week of heavy insider activity,Alibaba to overtake Baidu to lead China’s digital advertising market,
148,2016-10-01,2016-10-31,Record 400 billionaires from mainland China in Forbes rich list,China’s TMT deals top US$100bn for second straight year,These are the 10 wealthiest tech billionaires in the world,Jetpack backer Kuang-Chi launches US$250 million global fund for innovative firms,"7-Eleven, McDonald’s, Circle K... Google launches Android Pay at 5,000 Hong Kong locations",AT&amp;T bid for Time Warner is no sure deal,Close ally of Xi Jinping tipped to be new mayor of Beijing,"Jack Ma, Steven Spielberg forge pact on film production, distribution, opening path for Hollywood in China",Baidu launches 20 billion yuan investment fund for start-ups,Operator of Alipay switches CEO ahead of listing,
149,2016-11-01,2016-11-30,Tencent’s Joox music streaming service proves a hit across Asia,China’s Tencent to ramp up cloud and payments businesses after reporting 43pc profit growth,Online games kingpin Tencent tipped for strong third quarter,China’s Tencent celebrates anniversary with HK$1.7bn gift to employees,Tencent-backed Hollywood studio STX Entertainment eyes Hong Kong IPO,"Baidu, Alibaba and Tencent to expand their revenue from paid digital content and targeted ad campaigns",Tencent’s electric car unit to partner in 13.3bn yuan venture to build green vehicles in Jiangxi province,WeChat chief raises alarm over fake news in wake of Trump win,"Chinese hackers win US$215,000 for cracking Google Nexus, iPhones at global competition",Mobike offers Chinese commuters a way to beat the traffic – ride sharing on a bicycle,
150,2016-12-01,2016-12-31,Tencent hunts for Hollywood deals to feed China’s film boom,"Tencent, partners invest in HERE’s digital maps to get a leg up on self-driving cars","Mainland Chinese vote Tencent, Alibaba as best tech employers",Tencent and Starbucks in partnership for social gifting feature on WeChat,Index heavyweights push Hong Kong stocks slightly higher,How to avoid getting your WeChat messages censored both in and outside China,Golden Trump rooster statues become icons around China,Youku ready to add viewers’ data to help Alibaba refine online shopping customers’ profile,"Hong Kong smartphone users’ information at risk with major payment apps, agency claims","Baidu spends 100m yuan on fledgling marketing firm, created by 25-year-old whiz kid in 2015",
151,2017-01-01,2017-01-31,"Tencent, China Rapid Finance team up on new online consumer investment products",Tencent teams with Thai start-up Ookbee to launch content platform,"Tencent begins in-app feature for 800 million users, extending WeChat;s usefulness","Tencent, NetEase eye global breakthroughs in mobile gaming",Mobike gets US$215 million in series D funding,Taking electronic  to the next level,Mainland mobile social media networks at the forefront of the ‘all-in-one’ app revolution,Lunar New Year  tradition goes digital in a big way,Hong Kong’s main stock index closes Year of the Monkey up 21pc,Popularity of digital  surges in time for Lunar New Year,
152,2017-02-01,2017-02-28,Tencent to trial paid subscription content in effort to monetise WeChat accounts,Tencent-backed China Reading plans IPO of up to US$800 million in Hong Kong,Tencent launches WeChat gold-gifting feature for Valentine’s Day,Tencent partners with Starbucks to launch WeChat ‘social gifting’ feature,SF Express boss Wang Wei’s net worth jumps US$2.4b in one day as shares continue to soar,Video streaming giant iQiyi raises US$1.5b in convertible notes issue,Baidu says ‘revenue impact’ from 2016 medical advertising scandal is ‘largely behind’ it,Baidu’s Q4 sales dips as search engine struggles to regain traction,"Alibaba, Huawei join Google, Apple and Facebook among world’s most valuable technology brands","Experts call for better fintech regulation in China, Hong Kong",
153,2017-03-01,2017-03-31,Chinese internet giant Tencent buys 5pc stake in Tesla for US$1.8b,Tencent leads US$350m investment in China video streaming start-up Kuaishou,Tencent seeking to boost WeChat Wallet use in Hong Kong,"Pony Ma: Creating a ‘Bay Area’ for tech firms in Guangdong, Hong Kong and Macau needs Beijing’s support","Tencent’s Tesla stake could help the US carmaker expand in China, analysts say","TCL’s new internet TV to leverage online video arms of Tencent, Alibaba",Tencent names Zhang Tong head of its artificial intelligence lab,Tencent’s 0.01 yuan bid for Xiamen cloud contract raises ire,"Internet giant Tencent to sharpen focus on advertising, new tech investments after record year",Tencent founder Pony Ma’s Shek O property quadruples in value,
154,2017-04-01,2017-04-30,"Tencent’s 2016 tech executive pay surpasses Apple, IBM","How China’s first lady, Tencent and Alibaba empower a home grown luxury fashion industry",Rarely seen share buying activity points to ‘undervaluation’ in these five companies,Tencent disables tipping function in iPhone version of WeChat,Tencent co-founder takes lead in HK$900m Chinasoft fundraising,"Tencent, eBay and Microsoft invest US$1.4 billion in India’s Flipkart","Wanda to tap into online gaming market, going head to head with Tencent and NetEase","Baidu, Alibaba, Tencent advance China’s AI development goals, says Microsoft research head",China’s bike-sharing battle ratchets up a notch as Didi Chuxing enters the fray,WeChat is top workplace communications app for 90 per cent of Chinese professionals,
155,2017-05-01,2017-05-31,Tencent expands music streaming business with Universal Music Group pact,Tencent shares could reach new high on upbeat first-quarter earnings,Tencent appoints global AI expert to head new Seattle lab,Tencent looks to cross-border payments expansion after leading US$13m funding in Airwallex,Oracle set to expand cloud reach with Tencent alliance,Tencent invests further in Chinese online tutor Yuanfudao,"WeChat allows content sharing with banned Facebook, Twitter",Tencent’s China Reading takes first foray overseas with multi-language website,Hong Kong benchmark index hits 22-month high as Tencent retreats on technical correction,"WeChat boom pushes Tencent shares to record high, boosting Hang Seng index",
156,2017-06-01,2017-06-30,Hong Kong stocks drop most in two weeks to trim monthly gain as Tencent declines,"Tencent’s WeChat drives China’s late adopters to social media, join 626 million total active users this year","Incentives needed to drive Greater Bay Area plan, Tencent chairman tells Hong Kong seminar",Creator of Tencent’s blockbuster game ‘Honor of Kings’ splashes out US$12.6m on Kowloon penthouse,"Four mainland Chinese firms join elite list of top-performing, rapidly growing large companies","Tencent outspent Baidu, Alibaba in tech mergers and acquisitions","Tech firms, backed by industry giants, line up for IPO frenzy over next 18 months",Online insurer Zhong An applies for US$1.5bn Hong Kong IPO,"The world spends US$109 billion on video games, and the Chinese are the biggest players","Online insurer Zhong An could list in Hong Kong as early as July, reports say",
157,2017-07-01,2017-07-31,Tencent banks on original music to become China’s Spotify,Tencent’s WeChat Pay targets Chinese outbound travellers to boost its overseas market,"Alibaba, Tencent included in Fortune Global 500 list for the first time",Second richest man in China is now Tencent’s Pony Ma Huateng – who beat Wanda Group’s Wang Jianlin,Hang Seng Index hits two-year high as Geely Auto jumps on Volvo venture and Tencent climbs to record,Tencent co-founder brands LeEco a ‘Ponzi scheme’,Insider buying by directors eases to HK$118 million for the week,"Hong Kong stocks up for 7th straight month, longest stretch of gains in a decade","Alibaba, Tencent see AI as solution to China’s acute shortage of doctors","How Tencent blurred the lines of gaming, social networking in Honour of Kings",
158,2017-08-01,2017-08-31,Tencent shares reach all-time high on strong second-quarter outlook,"Tencent’s hit video game Honour of Kings spurs black market for virtual mercenaries, ghost players",Huayi-Tencent entertainment venture posts wider interim loss,Tencent joins the fray with Baidu in providing artificial intelligence applications for self-driving cars,Chinese developers pile in for the Next Big Thing in tech: voice-activated smart speakers,Hong Kong stocks edge lower despite Tencent post-earnings rally,Tencent’s Q2 profit jumps 70 per cent as more gamers play on smartphones than computers,Hong Kong stocks close up Wednesday led by Tencent and Chinese banks,Foursquare pioneered the trend of ‘checking-in’ to a place — now it sells your data to companies,"China’s new cybersecurity law lacks detail, says Tencent VP",
159,2017-09-01,2017-09-30,"How the NBA became China’s most popular sports league, with a boost from tech giants such as Weibo and Tencent",Tencent in deal to bring Chinese online comics to North American readers,"China fines Tencent, Baidu and Weibo over banned contents in ongoing crackdown","Maker of graphics cards to supply Alibaba, Baidu, Tencent with chips that run AI five times faster",CICC shares soar 18pc as Tencent spends US$372m for a 5pc stake in the bank,Your money’s not wanted HERE: Chinese-led bid for stake in high-res map maker rejected by US,"What’s drawing Chinese internet giants to Indian, Southeast Asian tech scenes?",Buses and subways to become new battlefield for mobile payments,"Hang Seng blasts above 28,000, powered by gains in property stocks, Tencent","Alibaba, Tencent collaborate on music streaming, with potential to remake industry",
